Name,Category,Film,Win_Oscar?,Year_Ceremony,Birth_Date,Birth_Place,Gender,Race or Ethnicity,Sexual orientation,Religion,Link
Shirley MacLaine,ACTRESS,Some Came Running,FALSO,1959,24-04-1934,"Richmond, VA",Female,White,Straight,Baptist,/people/799/000023730/
Rosalind Russell,ACTRESS,Auntie Mame,FALSO,1959,04-06-1907,"Waterbury, CT",Female,White,Straight,Roman Catholic,http://www.nndb.com/people/324/000089057/
Elizabeth Taylor,ACTRESS,Cat on a Hot Tin Roof,FALSO,1959,27-02-1932,"London, England",Female,White,Straight,Jewish,/people/624/000023555/
Peggy Cass,ACTRESS IN A SUPPORTING ROLE,Auntie Mame,FALSO,1959,21-05-1924,"Boston, MA",Female,White,Straight,Na,http://www.nndb.com/people/523/000110193/
Wendy Hiller,ACTRESS IN A SUPPORTING ROLE,Separate Tables,VERDADERO,1959,15-08-1912,"Bramhall, Cheshire, England",Female,White,Straight,Na,/people/056/000063864/
Martha Hyer,ACTRESS IN A SUPPORTING ROLE,Some Came Running,FALSO,1959,10-08-1924,"Fort Worth, TX",Female,White,Straight,Na,http://www.nndb.com/people/263/000130870/
Maureen Stapleton,ACTRESS IN A SUPPORTING ROLE,Lonelyhearts,FALSO,1959,21-06-1925,"Troy, NY",Female,White,Straight,Roman Catholic,/people/376/000032280/
Cara Williams,ACTRESS IN A SUPPORTING ROLE,The Defiant Ones,FALSO,1959,29-06-1925,"Brooklyn, NY",Female,White,Straight,Na,http://www.nndb.com/people/441/000222772/
Richard Brooks,DIRECTING,Cat on a Hot Tin Roof,FALSO,1959,18-05-1912,"Philadelphia, PA",Male,White,Straight,Jewish,http://www.nndb.com/people/534/000032438/
Stanley Kramer,DIRECTING,The Defiant Ones,FALSO,1959,29-09-1913,"Brooklyn, NY",Male,White,Straight,Jewish,http://www.nndb.com/people/120/000056949/
Vincente Minnelli,DIRECTING,Gigi,VERDADERO,1959,28-02-1903,"Chicago, IL",Male,White,Bisexual,Na,/people/825/000032729/
Robert Wise,DIRECTING,I Want to Live!,FALSO,1959,10-09-1914,"Winchester, IN",Male,White,Straight,Na,/people/460/000032364/
Mark Robson,DIRECTING,The Inn of the Sixth Happiness,FALSO,1959,04-12-1913,"Montreal, Quebec, Canada",Male,White,Na,Na,http://www.nndb.com/people/337/000078103/
Laurence Harvey,ACTOR,Room at the Top,FALSO,1960,01-10-1928,"Jonischkis, Lithuania",Male,White,Straight,Na,http://www.nndb.com/people/310/000026232/
Charlton Heston,ACTOR,Ben-Hur,VERDADERO,1960,04-10-1923,"Evanston, IL",Male,White,Straight,Protestant,/people/961/000022895/
Jack Lemmon,ACTOR,Some Like It Hot,FALSO,1960,08-02-1925,"Newton, MA",Male,White,Straight,Roman Catholic,/people/714/000026636/
Paul Muni,ACTOR,The Last Angry Man,FALSO,1960,1895-09-22,"Lviv, Ukraine",Male,White,Straight,Jewish,/people/741/000063552/
Jimmy Stewart,ACTOR,Anatomy of a Murder,FALSO,1960,20-05-1908,"Indiana, PA",Male,White,Straight,Presbyterian,/people/659/000026581/
Hugh Griffith,ACTOR IN A SUPPORTING ROLE,Ben-Hur,VERDADERO,1960,30-05-1912,"Marian Glas, Anglesey, Wales",Male,White,Na,Na,/people/120/000063928/
Arthur O'Connell,ACTOR IN A SUPPORTING ROLE,Anatomy of a Murder,FALSO,1960,29-03-1908,New York City,Male,White,Straight,Na,http://www.nndb.com/people/259/000136848/
George C. Scott,ACTOR IN A SUPPORTING ROLE,Anatomy of a Murder,FALSO,1960,18-10-1927,"Wise, VA",Male,White,Straight,Na,/people/025/000022956/
Robert Vaughn,ACTOR IN A SUPPORTING ROLE,The Young Philadelphians,FALSO,1960,22-11-1932,New York City,Male,White,Straight,Roman Catholic,http://www.nndb.com/people/648/000023579/
Ed Wynn,ACTOR IN A SUPPORTING ROLE,The Diary of Anne Frank,FALSO,1960,1886-11-09,"Philadelphia, PA",Male,White,Straight,Na,http://www.nndb.com/people/595/000108271/
Doris Day,ACTRESS,Pillow Talk,FALSO,1960,03-04-1922,"Cincinnati, OH",Female,White,Straight,Christian Science,http://www.nndb.com/people/975/000022909/
Audrey Hepburn,ACTRESS,The Nun's Story,FALSO,1960,04-05-1929,"Brussels, Belgium",Female,White,Straight,Christian Science,/people/933/000026855/
Katharine Hepburn,ACTRESS,"Suddenly, Last Summer",FALSO,1960,12-05-1907,"Hartford, CT",Female,White,Bisexual,Atheist,/people/775/000023706/
Simone Signoret,ACTRESS,Room at the Top,VERDADERO,1960,25-03-1921,"Wiesbaden, Germany",Female,White,Straight,Na,/people/804/000063615/
Elizabeth Taylor,ACTRESS,"Suddenly, Last Summer",FALSO,1960,27-02-1932,"London, England",Female,White,Straight,Jewish,/people/624/000023555/
Hermione Baddeley,ACTRESS IN A SUPPORTING ROLE,Room at the Top,FALSO,1960,13-11-1906,"Broseley, Shropshire, England",Female,White,Straight,Na,http://www.nndb.com/people/417/000138003/
Susan Kohner,ACTRESS IN A SUPPORTING ROLE,Imitation of Life,FALSO,1960,11-11-1936,"Los Angeles, CA",Female,White,Straight,Na,http://www.nndb.com/people/616/000135211/
Juanita Moore,ACTRESS IN A SUPPORTING ROLE,Imitation of Life,FALSO,1960,19-10-1922,"Los Angeles, CA",Female,Black,Na,Na,http://www.nndb.com/people/491/000108167/
Thelma Ritter,ACTRESS IN A SUPPORTING ROLE,Pillow Talk,FALSO,1960,14-02-1905,"Brooklyn, NY",Female,White,Straight,Na,http://www.nndb.com/people/813/000089546/
Shelley Winters,ACTRESS IN A SUPPORTING ROLE,The Diary of Anne Frank,VERDADERO,1960,18-08-1920,"St. Louis, MO",Female,White,Straight,Jewish,/people/859/000022793/
William Wyler,DIRECTING,Ben-Hur,VERDADERO,1960,01-07-1902,"Mulhouse, Haut-Rhin, Alsace, France",Male,White,Straight,Na,/people/463/000032367/
George Stevens,DIRECTING,The Diary of Anne Frank,FALSO,1960,18-12-1904,"Oakland, CA",Male,White,Straight,Na,/people/382/000044250/
Fred Zinnemann,DIRECTING,The Nun's Story,FALSO,1960,29-04-1907,"Vienna, Austria",Male,White,Straight,Jewish,/people/538/000032442/
Jack Clayton,DIRECTING,Room at the Top,FALSO,1960,01-03-1921,"Brighton, England",Male,White,Straight,Na,http://www.nndb.com/people/075/000174550/
Billy Wilder,DIRECTING,Some Like It Hot,FALSO,1960,22-06-1906,"Sucha, Galicia, Austria",Male,White,Straight,Jewish,/people/982/000024910/
Trevor Howard,ACTOR,Sons and Lovers,FALSO,1961,29-09-1913,"Cliftonville, Kent, England",Male,White,Straight,Na,http://www.nndb.com/people/809/000042683/
Burt Lancaster,ACTOR,Elmer Gantry,VERDADERO,1961,02-11-1913,New York City,Male,White,Straight,Protestant,/people/938/000031845/
Jack Lemmon,ACTOR,The Apartment,FALSO,1961,08-02-1925,"Newton, MA",Male,White,Straight,Roman Catholic,/people/714/000026636/
Laurence Olivier,ACTOR,The Entertainer,FALSO,1961,22-05-1907,"Dorking, Surrey, England",Male,White,Bisexual,Na,/people/607/000022541/
Spencer Tracy,ACTOR,Inherit the Wind,FALSO,1961,05-04-1900,"Milwaukee, WI",Male,White,Straight,Roman Catholic,/people/979/000024907/
Peter Falk,ACTOR IN A SUPPORTING ROLE,"Murder, Inc.",FALSO,1961,16-09-1927,New York City,Male,White,Straight,Jewish,http://www.nndb.com/people/222/000023153/
Jack Kruschen,ACTOR IN A SUPPORTING ROLE,The Apartment,FALSO,1961,20-03-1922,"Winnipeg, Manitoba, Canada",Male,White,Straight,Na,http://www.nndb.com/people/588/000135183/
Sal Mineo,ACTOR IN A SUPPORTING ROLE,Exodus,FALSO,1961,10-01-1939,"Bronx, NY",Male,White,Bisexual,Roman Catholic,http://www.nndb.com/people/218/000022152/
Peter Ustinov,ACTOR IN A SUPPORTING ROLE,Spartacus,VERDADERO,1961,16-04-1921,"London, England",Male,White,Straight,Na,/people/810/000022744/
