nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Geraldine Page;Femenino;Kirksville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hondo;Mejor actriz;No;1979;Interiors;;;;
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;Sí;1980;Kramer vs. Kramer;;;;
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1980;The China Syndrome;;;;
Al Pacino;Masculino;East Harlem, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Me, Natalie;Mejor actor;No;1980;...And Justice for All;;;;
Roy Scheider;Masculino;Orange, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Curse of the Living Corpse;Mejor actor;No;1980;All That Jazz;;;;
Peter Sellers;Masculino;Southsea, Inglaterra;Británica;No aplica;Blanca;No; Penny Points to Paradise;Mejor actor;No;1980;Being There;;;;
Jill Clayburgh;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Wedding Party;Mejor actriz;No;1980;Starting Over;;;;
Sally Field;Femenino;Pasadena, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Way West;Mejor actriz;Sí;1980;Norma Rae;;;;
Jane Fonda;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tall Story;Mejor actriz;No;1980;The China Syndrome;;;;
Marsha Mason;Femenino;San Luis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hot Rod Hullabaloo;Mejor actriz;No;1980;Chapter Two;;;;
Bette Midler;Femenino;Honolulú, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Rose;Mejor actriz;No;1980;The Rose;;;;
Robert De Niro;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Greetings;Mejor actor;Sí;1981;Raging Bull;;;;
Robert Duvall;Masculino;San Diego, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; To Kill a Mockingbird;Mejor actor;No;1981;The Great Santini;;;;
John Hurt;Masculino;Chesterfield, Inglaterra;Británica;No aplica;Blanca;No; The Wild and the Willing;Mejor actor;No;1981;The Elephant Man;;;;
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1981;Tribute;;;;
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1981;The Stunt Man;;;;
Ellen Burstyn;Femenino;Detroit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; For Those Who Think Young;Mejor actriz;No;1981;Resurrection;;;;
Goldie Hawn;Femenino;Washington D.C., Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The One and Only, Genuine, Original Family Band ;Mejor actriz;No;1981;Private Benjamin;;;;
Mary Tyler Moore;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; X-15;Mejor actriz;No;1981;Ordinary People;;;;
Gena Rowlands;Femenino;Cambria, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The High Cost of Loving;Mejor actriz;No;1981;Gloria;;;;
Sissy Spacek;Femenino;Quitman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prime Cut;Mejor actriz;Sí;1981;Coal Miner's Daughter;;;;
Warren Beatty;Masculino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Splendor in the Grass;Mejor actor;No;1982;Reds;;;;
Henry Fonda;Masculino;Grand Island, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Farmer Takes a Wife;Mejor actor;Sí;1982;On Golden Pond;;;;
Burt Lancaster;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Killers;Mejor actor;No;1982;Atlantic City;;;;
Dudley Moore;Masculino;Dagenham, Inglaterra;Británica;No aplica;Blanca;No; The Wrong Box;Mejor actor;No;1982;Arthur;;;;
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1982;Absence of Malice;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;Sí;1982;On Golden Pond;;;;
Diane Keaton;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lovers and Other Strangers;Mejor actriz;No;1982;Reds;;;;
Marsha Mason;Femenino;San Luis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hot Rod Hullabaloo;Mejor actriz;No;1982;Only When I Laugh;;;;
Susan Sarandon;Femenino;Queens, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Joe;Mejor actriz;No;1982;Atlantic City;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1982;The French Lieutenant's Woman;;;;
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;No;1983;Tootsie;;;;
Ben Kingsley;Masculino;Scarborough, Inglaterra;Británica;No aplica;Multirracial;No; Fear Is the Key;Mejor actor;Sí;1983;Gandhi;;;;
Jack Lemmon;Masculino;Newton, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; It Should Happen to You;Mejor actor;No;1983;Missing;;;;
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1983;The Verdict;;;;
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;1983;My Favorite Year;;;;
Julie Andrews;Femenino;Walton-on-Thames, Inglaterra;Británica;No aplica;Blanca;Sí; Mary Poppins;Mejor actriz;No;1983;Victor/Victoria;;;;
Jessica Lange;Femenino;Cloquet, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; King Kong;Mejor actriz;No;1983;Frances;;;;
Sissy Spacek;Femenino;Quitman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prime Cut;Mejor actriz;No;1983;Missing;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;Sí;1983;Sophie's Choice;;;;
Debra Winger;Femenino;Cleveland, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Slumber Party '57;Mejor actriz;No;1983;An Officer and a Gentleman;;;;
Michael Caine;Masculino;Rotherhithe, Inglaterra;Británica;No aplica;Blanca;No; A Hill in Korea;Mejor actor;No;1984;Educating Rita;;;;
Tom Conti;Masculino;Paisley, Escocia;Británica;No aplica;Blanca;Sí; Galileo;Mejor actor;No;1984;Reuben, Reuben;;;;
Tom Courtenay;Masculino;Hull, Inglaterra;Británica;No aplica;Blanca;No; The Loneliness of the Long Distance Runner;Mejor actor;No;1984;The Dresser;;;;
Robert Duvall;Masculino;San Diego, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; To Kill a Mockingbird;Mejor actor;Sí;1984;Tender Mercies;;;;
Albert Finney;Masculino;Salford, Inglaterra;Británica;No aplica;Blanca;No; The Entertainer;Mejor actor;No;1984;The Dresser;;;;
Jane Alexander;Femenino;Boston, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Great White Hope;Mejor actriz;No;1984;Testament;;;;
Shirley MacLaine;Femenino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Trouble with Harry;Mejor actriz;Sí;1984;Terms of Endearment;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1984;Silkwood;;;;
Julie Walters;Femenino;Birmingham, Inglaterra;Británica;No aplica;Blanca;No; Educating Rita;Mejor actriz;No;1984;Educating Rita;;;;
Debra Winger;Femenino;Cleveland, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Slumber Party '57;Mejor actriz;No;1984;Terms of Endearment;;;;
F. Murray Abraham;Masculino;Pittsburgh, Estados Unidos;Estadounidense;No aplica;Mediooriental;Sí; They Might Be Giants;Mejor actor;Sí;1985;Amadeus;;;;
Jeff Bridges;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Halls of Anger;Mejor actor;No;1985;Starman;;;;
Albert Finney;Masculino;Salford, Inglaterra;Británica;No aplica;Blanca;No; The Entertainer;Mejor actor;No;1985;Under the Volcano;;;;
Tom Hulce;Masculino;Detroit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; September 30, 1955;Mejor actor;No;1985;Amadeus;;;;
Sam Waterston;Masculino;Cambridge, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Plastic Dome of Norma Jean;Mejor actor;No;1985;The Killing Fields;;;;
Judy Davis;Femenino;Perth, Australia;Australiana;No aplica;Blanca;No; High Rolling;Mejor actriz;No;1985;A Passage to India;;;;
Sally Field;Femenino;Pasadena, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Way West;Mejor actriz;Sí;1985;Places in the Heart;;;;
Jessica Lange;Femenino;Cloquet, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; King Kong;Mejor actriz;No;1985;Country;;;;
Vanessa Redgrave;Femenino;Blackheath, Inglaterra;Británica;No aplica;Blanca;No; Behind the Mask;Mejor actriz;No;1985;The Bostonians;;;;
Sissy Spacek;Femenino;Quitman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prime Cut;Mejor actriz;No;1985;The River;;;;
Harrison Ford;Masculino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Time for Killing;Mejor actor;No;1986;Witness;;;;
James Garner;Masculino;Norman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Toward the Unknown;Mejor actor;No;1986;Murphy's Romance;;;;
William Hurt;Masculino;Washington D.C., Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Altered States;Mejor actor;Sí;1986;Kiss of the Spider Woman;;;;
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;No;1986;Prizzi's Honor;;;;
Jon Voight;Masculino;Yonkers, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Fearless Frank;Mejor actor;No;1986;Runaway Train;;;;
Anne Bancroft;Femenino;Bronx, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Don't Bother to Knock;Mejor actriz;No;1986;Agnes of God;;;;
Whoopi Goldberg;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Citizen;Mejor actriz;No;1986;The Color Purple;;;;
Jessica Lange;Femenino;Cloquet, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; King Kong;Mejor actriz;No;1986;Sweet Dreams;;;;
Geraldine Page;Femenino;Kirksville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hondo;Mejor actriz;Sí;1986;The Trip to Bountiful;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1986;Out of Africa;;;;
Dexter Gordon;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Negra;No; Jag älskar, du älskar;Mejor actor;No;1987;Round Midnight;;;;
Bob Hoskins;Masculino;Bury Saint Edmunds, Inglaterra;Británica;No aplica;Blanca;No; Up the Front;Mejor actor;No;1987;Mona Lisa;;;;
William Hurt;Masculino;Washington D.C., Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Altered States;Mejor actor;No;1987;Children of a Lesser God;;;;
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;Sí;1987;The Color of Money;;;;
James Woods;Masculino;Vernal, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Visitors;Mejor actor;No;1987;Salvador;;;;
Jane Fonda;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tall Story;Mejor actriz;No;1987;The Morning After;;;;
Marlee Matlin;Femenino;Morton Grove, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Children of a Lesser God;Mejor actriz;Sí;1987;Children of a Lesser God;;;;
Sissy Spacek;Femenino;Quitman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prime Cut;Mejor actriz;No;1987;Crimes of the Heart;;;;
Kathleen Turner;Femenino;Springfield, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Body Heat;Mejor actriz;No;1987;Peggy Sue Got Married;;;;
Sigourney Weaver;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Annie Hall;Mejor actriz;No;1987;Aliens;;;;
Michael Douglas;Masculino;New Brunswick, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Rabbit Test;Mejor actor;Sí;1988;Wall Street;;;;
William Hurt;Masculino;Washington D.C., Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Altered States;Mejor actor;No;1988;Broadcast News;;;;
Marcello Mastroianni;Masculino;Frosinone, Italia;Italiana;No aplica;Blanca;No; Tempesta su Parigi;Mejor actor;No;1988;Dark Eyes;;;;
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;No;1988;Ironweed;;;;
Robin Williams;Masculino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Can I Do It ... Til I Need Glasses?;Mejor actor;No;1988;Good Morning, Vietnam;;;;
Cher;Femenino;El Centro, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Chastity;Mejor actriz;Sí;1988;Moonstruck;;;;
Glenn Close;Femenino;Greenwich, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The World According to Garp;Mejor actriz;No;1988;Fatal Attraction;;;;
Holly Hunter;Femenino;Conyers, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Burning;Mejor actriz;No;1988;Broadcast News;;;;
Sally Kirkland;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prison;Mejor actriz;No;1988;Anna;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1988;Ironweed;;;;
Gene Hackman;Masculino;San Bernardino, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lilith;Mejor actor;No;1989;Mississippi Burning;;;;
Tom Hanks;Masculino;Concord, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; He Knows You're Alone;Mejor actor;No;1989;Big;;;;
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;Sí;1989;Rain Man;;;;
Edward James Olmos;Masculino;East Los Angeles, Estados Unidos;Estadounidense;Mexicana;Hispana;Sí; Aloha Bobby and Rose;Mejor actor;No;1989;Stand and Deliver;;;;
Max von Sydow;Masculino;Lund, Suecia;Sueca;Francesa;Blanca;No; Bara en mor;Mejor actor;No;1989;Pelle the Conqueror;;;;
Glenn Close;Femenino;Greenwich, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The World According to Garp;Mejor actriz;No;1989;Dangerous Liaisons;;;;
Jodie Foster;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Napoleon and Samantha;Mejor actriz;Sí;1989;The Accused;;;;
Melanie Griffith;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Night Moves;Mejor actriz;No;1989;Working Girl;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1989;A Cry in the Dark;;;;
Sigourney Weaver;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Annie Hall;Mejor actriz;No;1989;Gorillas in the Mist;;;;
Kenneth Branagh;Masculino;Belfast, Reino Unido;Británica;No aplica;Blanca;No; A Month in the Country;Mejor actor;No;1990;Henry V;;;;
Tom Cruise;Masculino;Siracusa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Endless Love;Mejor actor;No;1990;Born on the Fourth of July;;;;
Daniel Day-Lewis;Masculino;Greenwich, Inglaterra;Británica;Irlandesa;Blanca;No; Endless Love;Mejor actor;Sí;1990;My Left Foot;;;;
Morgan Freeman;Masculino;Memphis, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Who Says I Can't Ride a Rainbow!;Mejor actor;No;1990;Driving Miss Daisy;;;;
Robin Williams;Masculino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Can I Do It ... Til I Need Glasses?;Mejor actor;No;1990;Dead Poets Society;;;;
Isabelle Adjani;Femenino;París, Francia;Francesa;No aplica;Multirracial;No; Le petit bougnat;Mejor actriz;No;1990;Camille Claudel;;;;
Pauline Collins;Femenino;Exmouth, Inglaterra;Británica;No aplica;Blanca;No; Secrets of a Windmill Girl;Mejor actriz;No;1990;Shirley Valentine;;;;
Jessica Lange;Femenino;Cloquet, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; King Kong;Mejor actriz;No;1990;Music Box;;;;
Michelle Pfeiffer;Femenino;Santa Ana, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Hollywood Knights;Mejor actriz;No;1990;The Fabulous Baker Boys;;;;
Jessica Tandy;Femenino;Stoke Newington, Inglaterra;Británica;Estadounidense;Blanca;No; The Indiscretions of Eve;Mejor actriz;Sí;1990;Driving Miss Daisy;;;;
Kevin Costner;Masculino;Lynwood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Malibu Hot Summer;Mejor actor;No;1991;Dances With Wolves;;;;
Robert De Niro;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Greetings;Mejor actor;No;1991;Awakenings;;;;
Gerard Depardieu;Masculino;Châteauroux, Francia;Francesa;Rusa;Blanca;No; Le cri du cormoran, le soir au-dessus des jonques;Mejor actor;No;1991;Cyrano de Bergerac;;;;
Richard Harris;Masculino;Limerick, Irlanda;Irlandesa;No aplica;Blanca;No; Alive and Kicking;Mejor actor;No;1991;The Field;;;;
Jeremy Irons;Masculino;Cowes, Inglaterra;Británica;No aplica;Blanca;No; Langrishe, Go Down;Mejor actor;Sí;1991;Reversal of Fortune;;;;
Kathy Bates;Femenino;Memphis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Taking Off;Mejor actriz;Sí;1991;Misery;;;;
Anjelica Huston;Femenino;Santa Mónica, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Walk with Love and Death;Mejor actriz;No;1991;The Grifters;;;;
Julia Roberts;Femenino;Smyrna, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Satisfaction;Mejor actriz;No;1991;Pretty Woman;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1991;Postcards from the Edge;;;;
Joanne Woodward;Femenino;Thomasville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Count Three and Pray;Mejor actriz;No;1991;Mr. & Mrs. Bridge;;;;
Warren Beatty;Masculino;Richmond, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Splendor in the Grass;Mejor actor;No;1992;Bugsy;;;;
Robert De Niro;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Greetings;Mejor actor;No;1992;Cape Fear;;;;
Anthony Hopkins;Masculino;Port Talbot, Reino Unido;Británica;Estadounidense;Blanca;No; The Lion in Winter;Mejor actor;Sí;1992;The Silence of the Lambs;;;;
Nick Nolte;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Return to Macon County;Mejor actor;No;1992;The Prince of Tides;;;;
Robin Williams;Masculino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Can I Do It ... Til I Need Glasses?;Mejor actor;No;1992;The Fisher King;;;;
Geena Davis;Femenino;Wareham, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tootsie;Mejor actriz;No;1992;Thelma & Louise;;;;
Laura Dern;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí;  Foxes;Mejor actriz;No;1992;Rambling Rose;;;;
Jodie Foster;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Napoleon and Samantha;Mejor actriz;Sí;1992;The Silence of the Lambs;;;;
Bette Midler;Femenino;Honolulú, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Rose;Mejor actriz;No;1992;For the Boys;;;;
Susan Sarandon;Femenino;Queens, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Joe;Mejor actriz;No;1992;Thelma & Louise;;;;
Robert Downey Jr.;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Pound;Mejor actor;No;1993;Chaplin;;;;
Clint Eastwood;Masculino;San Francisco, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Francis in the Navy;Mejor actor;No;1993;Unforgiven;;;;
Al Pacino;Masculino;East Harlem, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Me, Natalie;Mejor actor;Sí;1993;Scent of a Woman;;;;
Stephen Rea;Masculino;Belfast, Reino Unido;Norirlandesa;No aplica;Blanca;No; Cry of the Banshee;Mejor actor;No;1993;The Crying Game;;;;
Denzel Washington;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carbon Copy;Mejor actor;No;1993;Malcolm X;;;;
Catherine Deneuve;Femenino;París, Francia;Francesa;No aplica;Blanca;No; Les Collégiennes;Mejor actriz;No;1993;Indochine;;;;
Mary McDonnell;Femenino;Wilkes-Barre, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Garbo Talks;Mejor actriz;No;1993;Passion Fish;;;;
Michelle Pfeiffer;Femenino;Santa Ana, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Hollywood Knights;Mejor actriz;No;1993;Love Field;;;;
Susan Sarandon;Femenino;Queens, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Joe;Mejor actriz;No;1993;Lorenzo's Oil;;;;
Emma Thompson;Femenino;Paddington, Inglaterra;Británica;No aplica;Blanca;No; The Tall Guy;Mejor actriz;Sí;1993;Howards End;;;;
Daniel Day-Lewis;Masculino;Greenwich, Inglaterra;Británica;Irlandesa;Blanca;No; Endless Love;Mejor actor;No;1994;In the Name of the Father;;;;
Laurence Fishburne;Masculino;Augusta, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Cornbread, Earl and Me;Mejor actor;No;1994;What's Love Got to Do with It;;;;
Tom Hanks;Masculino;Concord, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; He Knows You're Alone;Mejor actor;Sí;1994;Philadelphia;;;;
Anthony Hopkins;Masculino;Port Talbot, Reino Unido;Británica;Estadounidense;Blanca;No; The Lion in Winter;Mejor actor;No;1994;The Remains of the Day;;;;
Liam Neeson;Masculino;Ballymena, Reino Unido;Norirlandesa;Estadounidense;Blanca;Sí; Pilgrim's Progress;Mejor actor;No;1994;Schindler's List;;;;
Angela Bassett;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Negra;Sí; F/X;Mejor actriz;No;1994;What's Love Got to Do with It;;;;
Stockard Channing;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Fortune;Mejor actriz;No;1994;Six Degrees of Separation;;;;
Holly Hunter;Femenino;Conyers, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Burning;Mejor actriz;Sí;1994;The Piano;;;;
Emma Thompson;Femenino;Paddington, Inglaterra;Británica;No aplica;Blanca;No; The Tall Guy;Mejor actriz;No;1994;The Remains of the Day;;;;
Debra Winger;Femenino;Cleveland, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Slumber Party '57;Mejor actriz;No;1994;Shadowlands;;;;
Morgan Freeman;Masculino;Memphis, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Who Says I Can't Ride a Rainbow!;Mejor actor;No;1995;The Shawshank Redemption;;;;
Tom Hanks;Masculino;Concord, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; He Knows You're Alone;Mejor actor;Sí;1995;Forrest Gump;;;;
Nigel Hawthorne;Masculino;Coventry, Inglaterra;Británica;No aplica;Blanca;Sí; S*P*Y*S;Mejor actor;No;1995;The Madness of King George;;;;
Paul Newman;Masculino;Shaker Heights, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Silver Chalice;Mejor actor;No;1995;Nobody's Fool;;;;
John Travolta;Masculino;Englewood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Devil's Rain;Mejor actor;No;1995;Pulp Fiction;;;;
Jodie Foster;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Napoleon and Samantha;Mejor actriz;No;1995;Nell;;;;
Jessica Lange;Femenino;Cloquet, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; King Kong;Mejor actriz;Sí;1995;Blue Sky;;;;
Miranda Richardson;Femenino;Southport, Inglaterra;Británica;No aplica;Blanca;No; Dance with a Stranger;Mejor actriz;No;1995;Tom & Viv;;;;
Winona Ryder;Femenino;Winona, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lucas;Mejor actriz;No;1995;Little Women;;;;
Susan Sarandon;Femenino;Queens, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Joe;Mejor actriz;No;1995;The Client;;;;
Nicolas Cage;Masculino;Long Beach, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Fast Times at Ridgemont High;Mejor actor;Sí;1996;Leaving Las Vegas;;;;
Richard Dreyfuss;Masculino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Young Runaways;Mejor actor;No;1996;Mr. Holland's Opus;;;;
Anthony Hopkins;Masculino;Port Talbot, Reino Unido;Británica;Estadounidense;Blanca;No; The Lion in Winter;Mejor actor;No;1996;Nixon;;;;
Sean Penn;Masculino;Burbank, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Taps;Mejor actor;No;1996;Dead Man Walking;;;;
Massimo Troisi;Masculino;San Giorgio, Italia;Italiana;No aplica;Blanca;Sí; Ricomincio da tre;Mejor actor;No;1996;The Postman (Il Postino);;;;
Susan Sarandon;Femenino;Queens, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Joe;Mejor actriz;Sí;1996;Dead Man Walking;;;;
Elisabeth Shue;Femenino;Wilmington, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Somewhere, Tomorrow;Mejor actriz;No;1996;Leaving Las Vegas;;;;
Sharon Stone;Femenino;Meadville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Stardust Memories;Mejor actriz;No;1996;Casino;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1996;The Bridges of Madison County;;;;
Emma Thompson;Femenino;Paddington, Inglaterra;Británica;No aplica;Blanca;No; The Tall Guy;Mejor actriz;No;1996;Sense and Sensibility;;;;
Tom Cruise;Masculino;Siracusa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Endless Love;Mejor actor;No;1997;Jerry Maguire;;;;
Ralph Fiennes;Masculino;Ipswich, Inglaterra;Británica;No aplica;Blanca;Sí; Wuthering Heights;Mejor actor;No;1997;The English Patient;;;;
