nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Robert Montgomery;Masculino;Beacon, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; So This Is College;Mejor actor;No;1938;Night Must Fall;;;;
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;No;1938;The Life of Emile Zola;;;;
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;Sí;1938;Captains Courageous;;;;
Irene Dunne;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Leathernecking;Mejor actriz;No;1938;The Awful Truth;;;;
Greta Garbo;Femenino;Estocolmo, Suecia;Sueca;Estadounidense;Blanca;No; Luffar-Petter;Mejor actriz;No;1938;Camille;;;;
Janet Gaynor;Femenino;Filadelfia, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Johnstown Flood;Mejor actriz;No;1938;A Star Is Born;;;;
Luise Rainer;Femenino;Düsseldorf, Alemania;Alemana;Estadounidense;Blanca;No; Sehnsucht 202;Mejor actriz;Sí;1938;The Good Earth;;;;
Barbara Stanwyck;Femenino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Locked Door;Mejor actriz;No;1938;Stella Dallas;;;;
Charles Boyer;Masculino;Figeac, Francia;Francesa;Estadounidense ;Blanca;No; L'Homme du large;Mejor actor;No;1939;Algiers;;;;
James Cagney;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Sinners' Holiday;Mejor actor;No;1939;Angels with Dirty Faces;;;;
Robert Donat;Masculino;Withington, Inglaterra;Británica;No aplica;Blanca;No; Men of Tomorrow;Mejor actor;No;1939;The Citadel;;;;
Leslie Howard;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;No; The Heroine of Mons;Mejor actor;No;1939;Pygmalion;;;;
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;Sí;1939;Boys Town;;;;
Fay Bainter;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; This Side of Heaven;Mejor actriz;No;1939;White Banners;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;Sí;1939;Jezebel;;;;
Wendy Hiller;Femenino;Bramhall, Inglaterra;Británica;No aplica;Blanca;No; Lancashire Luck;Mejor actriz;No;1939;Pygmalion;;;;
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;No;1939;Marie Antoinette;;;;
Margaret Sullavan;Femenino;Norfolk, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Only Yesterday;Mejor actriz;No;1939;Three Comrades;;;;
Robert Donat;Masculino;Withington, Inglaterra;Británica;No aplica;Blanca;No; Men of Tomorrow;Mejor actor;Sí;1940;Goodbye, Mr. Chips;;;;
Clark Gable;Masculino;Cádiz, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; White Man;Mejor actor;No;1940;Gone with the Wind;;;;
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1940;Wuthering Heights;;;;
Mickey Rooney;Masculino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Not to Be Trusted;Mejor actor;No;1940;Babes in Arms;;;;
