nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;ano_pelicula_nominada;original_language;genres;production_companies;production_countries;spoken_languages
Jimmy Stewart;Masculino;Indiana, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Murder Man;Mejor actor;No;1940;Mr. Smith Goes to Washington;1939;ingles;Comedy, Drama;Columbia Pictures;Estados Unidos;Ingles
Greta Garbo;Femenino;Estocolmo, Suecia;Sueca;Estadounidense;Blanca;No; Luffar-Petter;Mejor actriz;No;1940;Ninotchka;1939;ingles;Comedy, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles, Ruso
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1940;Wuthering Heights;1939;ingles;Drama, Romance;Samuel Goldwyn Productions, United Artists;Estados Unidos;Ingles
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1940;Dark Victory;1939;ingles;Drama, Romance;Warner Bros. Pictures, First National Pictures;Estados Unidos;Ingles
Robert Donat;Masculino;Withington, Inglaterra;Británica;No aplica;Blanca;No; Men of Tomorrow;Mejor actor;Sí;1940;Goodbye, Mr. Chips;1939;ingles;Drama, Romance;Metro-Goldwyn-Mayer, Loew's Incorporated;Reino Unido;Ingles, Italiano
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;No;1940;Goodbye, Mr. Chips;1939;ingles;Drama, Romance;Metro-Goldwyn-Mayer, Loew's Incorporated;Reino Unido;Ingles, Italiano
Irene Dunne;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Leathernecking;Mejor actriz;No;1940;Love Affair;1939;ingles;Drama, Romance;RKO Radio Pictures;Estados Unidos;Ingles, Frances
Mickey Rooney;Masculino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Not to Be Trusted;Mejor actor;No;1940;Babes in Arms;1939;ingles;Comedy, Music;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Charles Chaplin;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; Making a Living;Mejor actor;No;1941;The Great Dictator;1940;ingles;Comedy, War;Roy Export Company Establishment, United Artists;Estados Unidos;Ingles, Esperanto
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1941;Rebecca;1940;ingles;Mystery, Romance, Thriller, Drama;Selznick International Pictures, United Artists;Estados Unidos;Ingles, Frances
Joan Fontaine;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; No More Ladies;Mejor actriz;No;1941;Rebecca;1940;ingles;Mystery, Romance, Thriller, Drama;Selznick International Pictures, United Artists;Estados Unidos;Ingles, Frances
Henry Fonda;Masculino;Grand Island, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Farmer Takes a Wife;Mejor actor;No;1941;The Grapes of Wrath;1940;ingles;Drama;20th Century Fox;Estados Unidos;Ingles
Jimmy Stewart;Masculino;Indiana, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Murder Man;Mejor actor;Sí;1941;The Philadelphia Story;1940;ingles;Comedy, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles, Frances
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1941;The Philadelphia Story;1940;ingles;Comedy, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles, Frances
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1941;The Letter;1940;ingles;Crime, Drama;Warner Bros. Pictures;Estados Unidos;Ingles
Ginger Rogers;Femenino;Independence, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Follow the Leader;Mejor actriz;Sí;1941;Kitty Foyle;1940;ingles;Drama, Romance;RKO Radio Pictures;Estados Unidos;Ingles
Martha Scott;Femenino;Jamesport, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Our Town;Mejor actriz;No;1941;Our Town;1940;ingles;Drama, Romance;United Artists, Sol Lesser Productions;Estados Unidos;Ingles
Raymond Massey;Masculino;Toronto, Canadá;Canadiense;Estadounidense;Blanca;No; The Speckled Band;Mejor actor;No;1941;Abe Lincoln in Illinois;1940;ingles;Drama, History;RKO Radio Pictures;Estados Unidos;Ingles
Orson Welles;Masculino;Kenosha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Citizen Kane;Mejor actor;No;1942;Citizen Kane;1941;ingles;Mystery, Drama;Mercury Productions, RKO Radio Pictures;Estados Unidos;Ingles
Joan Fontaine;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; No More Ladies;Mejor actriz;Sí;1942;Suspicion;1941;ingles;Mystery, Romance, Thriller;RKO Radio Pictures;Estados Unidos;Ingles
Gary Cooper;Masculino;Helena, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Winning of Barbara Worth;Mejor actor;Sí;1942;Sergeant York;1941;ingles;History, War, Drama;Warner Bros. Pictures;Estados Unidos;Aleman, Frances, Ingles
Barbara Stanwyck;Femenino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Locked Door;Mejor actriz;No;1942;Ball of Fire;1941;ingles;Comedy, Romance, Crime;Samuel Goldwyn Productions, RKO Radio Pictures;Estados Unidos;Ingles
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1942;The Little Foxes;1941;ingles;Drama, Romance, History;RKO Radio Pictures, Samuel Goldwyn Productions;Estados Unidos;Ingles
Cary Grant;Masculino;Bristol, Inglaterra;Británica;Estadounidense;Blanca;Sí; This Is the Night;Mejor actor;No;1942;Penny Serenade;1941;ingles;Drama, Romance;Columbia Pictures;Estados Unidos;Ingles
Robert Montgomery;Masculino;Beacon, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; So This Is College;Mejor actor;No;1942;Here Comes Mr. Jordan;1941;ingles;Comedy, Fantasy, Romance;Columbia Pictures;Estados Unidos;Ingles
Walter Huston;Masculino;Toronto, Canadá;Canadiense;Estadounidense;Blanca;Sí; Gentlemen of the Press;Mejor actor;No;1942;All That Money Can Buy;1941;ingles;Drama, Fantasy;RKO Radio Pictures;Estados Unidos;Ingles
Olivia de Havilland;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; Alibi Ike;Mejor actriz;No;1942;Hold Back the Dawn;1941;ingles;Drama, Romance;Paramount;Estados Unidos;Ingles, Español
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;No;1942;Blossoms in the Dust;1941;ingles;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Walter Pidgeon;Masculino;Saint John, Canadá;Canadiense;Estadounidense;Blanca;Sí; Mannequin;Mejor actor;No;1943;Mrs. Miniver;1942;ingles;Drama, Romance, War;Metro-Goldwyn-Mayer;Estados Unidos;Aleman, Ingles
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;Sí;1943;Mrs. Miniver;1942;ingles;Drama, Romance, War;Metro-Goldwyn-Mayer;Estados Unidos;Aleman, Ingles
James Cagney;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Sinners' Holiday;Mejor actor;Sí;1943;Yankee Doodle Dandy;1942;ingles;Drama, Music;Warner Bros. Pictures;Estados Unidos;Ingles
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1943;Now, Voyager;1942;ingles;Romance, Drama;Warner Bros. Pictures;Estados Unidos;Ingles, Portuguese
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1943;Woman of the Year;1942;ingles;Comedy, Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Gary Cooper;Masculino;Helena, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Winning of Barbara Worth;Mejor actor;No;1943;The Pride of the Yankees;1942;ingles;Drama, Family;Samuel Goldwyn Productions;Estados Unidos;Ingles
Teresa Wright;Femenino;Harlem, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Little Foxes;Mejor actriz;No;1943;The Pride of the Yankees;1942;ingles;Drama, Family;Samuel Goldwyn Productions;Estados Unidos;Ingles
Ronald Colman;Masculino;Richmond, Inglaterra;Británica;No aplica;Blanca;No; The Live Wire;Mejor actor;No;1943;Random Harvest;1942;ingles;Romance, Drama;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Rosalind Russell;Femenino;Waterbury, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Evelyn Prentice;Mejor actriz;No;1943;My Sister Eileen;1942;ingles;Comedy;Columbia Pictures;Estados Unidos;Ingles
Monty Woolley;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Live, Love and Learn;Mejor actor;No;1943;The Pied Piper;1942;ingles;Drama, War;20th Century Fox;Estados Unidos;Ingles, Frances
Humphrey Bogart;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1944;Casablanca;1943;ingles;Drama, Romance;Warner Bros. Pictures;Estados Unidos;Aleman, Frances, Italiano, Ingles
Gary Cooper;Masculino;Helena, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Winning of Barbara Worth;Mejor actor;No;1944;For Whom the Bell Tolls;1943;ingles;Drama, History, Romance, Thriller, Adventure, War;Paramount;Estados Unidos;Español, Ingles
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;No;1944;For Whom the Bell Tolls;1943;ingles;Drama, History, Romance, Thriller, Adventure, War;Paramount;Estados Unidos;Español, Ingles
Jennifer Jones;Femenino;Tulsa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; New Frontier;Mejor actriz;Sí;1944;The Song of Bernadette;1943;ingles;Drama;20th Century Fox;Estados Unidos;Frances, Ingles
Jean Arthur;Femenino;Plattsburgh, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Cameo Kirby;Mejor actriz;No;1944;The More the Merrier;1943;ingles;Comedy, Romance;Columbia Pictures;Estados Unidos;Ingles
Walter Pidgeon;Masculino;East Saint John, Canadá;Canadiense;Estadounidense;Blanca;Sí; Mannequin;Mejor actor;No;1944;Madame Curie;1943;ingles;Drama, Romance;Loew's Incorporated, Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;No;1944;Madame Curie;1943;ingles;Drama, Romance;Loew's Incorporated, Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Paul Lukas;Masculino;Budapest, Hungría;Húngara;Estadounidense ;Blanca;Sí; A Man of the Earth;Mejor actor;Sí;1944;Watch on the Rhine;1943;ingles;Drama, Thriller;Warner Bros. Pictures;Estados Unidos;Ingles
Mickey Rooney;Masculino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Not to Be Trusted;Mejor actor;No;1944;The Human Comedy;1943;ingles;Comedy, Drama, Family;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Joan Fontaine;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; No More Ladies;Mejor actriz;No;1944;The Constant Nymph;1943;ingles;Drama, Music, Romance;Warner Bros. Pictures;Estados Unidos;Ingles
Barbara Stanwyck;Femenino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Locked Door;Mejor actriz;No;1945;Double Indemnity;1944;ingles;Crime, Thriller;Paramount;Estados Unidos;Ingles
Charles Boyer;Masculino;Figeac, Francia;Francesa;Estadounidense ;Blanca;No; L'Homme du large;Mejor actor;No;1945;Gaslight;1944;ingles;Thriller, Drama, Mystery, Crime;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;Sí;1945;Gaslight;1944;ingles;Thriller, Drama, Mystery, Crime;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Bing Crosby;Masculino;Tacoma, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí;  King of Jazz;Mejor actor;Sí;1945;Going My Way;1944;ingles;Comedy, Drama, Music;Paramount;Estados Unidos;Ingles
Barry Fitzgerald;Masculino;Dublín, Irlanda;Irlandesa;No aplica;Blanca;No; Land of Her Fathers;Mejor actor;No;1945;Going My Way;1944;ingles;Comedy, Drama, Music;Paramount;Estados Unidos;Ingles
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1945;Mr. Skeffington;1944;ingles;Drama, Romance;Warner Bros. Pictures;Estados Unidos;Ingles
Claudette Colbert;Femenino;Saint-Mandé, Francia;Francesa;Estadounidense ;Blanca;Sí; For the Love of Mike;Mejor actriz;No;1945;Since You Went Away;1944;ingles;Drama, Romance, War;Vanguard Films, Selznick International Pictures;Estados Unidos;Ingles
Alexander Knox;Masculino;Strathroy, Canadá;Canadiense;No aplica;Blanca;No; The Gaunt Stranger;Mejor actor;No;1945;Wilson;1944;ingles;Drama, History;20th Century Fox;Estados Unidos;Ingles
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;No;1945;Mrs. Parkington;1944;ingles;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Cary Grant;Masculino;Bristol, Inglaterra;Británica;Estadounidense;Blanca;Sí; This Is the Night;Mejor actor;No;1945;None but the Lonely Heart;1944;Inglés;Drama;RKO Radio Pictures;Estados Unidos;Inglés
Ray Milland;Masculino;Neath, Reino Unido;Británica;Estadounidense ;Blanca;No; The Lady from the Sea;Mejor actor;Sí;1946;The Lost Weekend;1945;ingles;Drama;Paramount;Estados Unidos;Ingles
Joan Crawford;Femenino;San Antonio, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Pretty Ladies;Mejor actriz;Sí;1946;Mildred Pierce;1945;ingles;Crime, Drama;Warner Bros. Pictures;Estados Unidos;Ingles
Gene Tierney;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Return of Frank James;Mejor actriz;No;1946;Leave Her to Heaven;1945;ingles;Drama, Romance, Thriller;20th Century Fox;Estados Unidos;Ingles
Gene Kelly;Masculino;Pittsburgh, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; For Me and My Gal;Mejor actor;No;1946;Anchors Aweigh;1945;ingles;Comedy, Fantasy, Music, Romance, War;Metro-Goldwyn-Mayer;Estados Unidos;Ingles, Español
Bing Crosby;Masculino;Tacoma, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí;  King of Jazz;Mejor actor;No;1946;The Bells of St. Mary's;1945;ingles;Comedy, Drama;Republic Pictures, RKO Radio Pictures, Rainbow Productions;Estados Unidos;Ingles
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;No;1946;The Bells of St. Mary's;1945;ingles;Comedy, Drama;Republic Pictures, RKO Radio Pictures, Rainbow Productions;Estados Unidos;Ingles
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;No;1946;The Valley of Decision;1945;ingles;Drama;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Cornel Wilde;Masculino;Prievidza, Eslovaquia;Estadounidense;No aplica;Blanca;Sí; High Sierra;Mejor actor;No;1946;A Song to Remember;1945;ingles;Music, Drama;Columbia Pictures;Estados Unidos;Ingles
Jennifer Jones;Femenino;Tulsa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; New Frontier;Mejor actriz;No;1946;Love Letters;1945;ingles;Drama, Mystery, Romance;Paramount;Estados Unidos;Ingles
Gregory Peck;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Days of Glory;Mejor actor;No;1946;The Keys of the Kingdom;1945;Inglés;Drama;20th Century Fox;Estados Unidos;Inglés
Jimmy Stewart;Masculino;Indiana, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Murder Man;Mejor actor;No;1947;It's a Wonderful Life;1946;ingles;Drama, Family, Fantasy;Liberty Films;Estados Unidos;Ingles
Fredric March;Masculino;Racine, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Dummy;Mejor actor;Sí;1947;The Best Years of Our Lives;1946;ingles;Drama, Romance, War;Samuel Goldwyn Productions, RKO Radio Pictures;Estados Unidos;Ingles
Jennifer Jones;Femenino;Tulsa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; New Frontier;Mejor actriz;No;1947;Duel in the Sun;1946;ingles;Western, Romance, Drama;The Selznick Studio, Vanguard Films, United Artists;Estados Unidos;Ingles
Gregory Peck;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Days of Glory;Mejor actor;No;1947;The Yearling;1946;ingles;Drama, Family, Western;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Jane Wyman;Femenino;Saint Joseph, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Smart Blonde;Mejor actriz;No;1947;The Yearling;1946;ingles;Drama, Family, Western;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Olivia de Havilland;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; Alibi Ike;Mejor actriz;Sí;1947;To Each His Own;1946;ingles;Drama;Paramount;Estados Unidos;Ingles
Larry Parks;Masculino;Olathe, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Mystery Ship;Mejor actor;No;1947;The Jolson Story;1946;ingles;Drama, Music;Columbia Pictures;Estados Unidos;Ingles
Rosalind Russell;Femenino;Waterbury, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Evelyn Prentice;Mejor actriz;No;1947;Sister Kenny;1946;ingles;Drama;RKO Radio Pictures;Estados Unidos;Ingles
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1947;Henry V;1946;Inglés;Drama, Historia, Bélica;Two Cities Films, Rank Organisation;Reino Unido;Inglés
Celia Johnson;Femenino;Richmond, Inglaterra;Británica;No aplica;Blanca;No; In Which We Serve;Mejor actriz;No;1947;Brief Encounter;1946;Inglés;Drama, Romance;Cineguild, Independent Producers;Reino Unido;Inglés
Gregory Peck;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Days of Glory;Mejor actor;No;1948;Gentleman's Agreement;1947;ingles;Drama, Romance;20th Century Fox;Estados Unidos;Ingles
Dorothy McGuire;Femenino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Claudia;Mejor actriz;No;1948;Gentleman's Agreement;1947;ingles;Drama, Romance;20th Century Fox;Estados Unidos;Ingles
John Garfield;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; They Made Me a Criminal;Mejor actor;No;1948;Body and Soul;1947;ingles;Drama;Enterprise Productions, United Artists;Estados Unidos;Ingles
Joan Crawford;Femenino;San Antonio, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Pretty Ladies;Mejor actriz;No;1948;Possessed;1947;ingles;Drama, Romance, Thriller;Warner Bros. Pictures;Estados Unidos;Ingles
Ronald Colman;Masculino;Richmond, Inglaterra;Británica;No aplica;Blanca;No; The Live Wire;Mejor actor;Sí;1948;A Double Life;1947;ingles;Crime, Drama, Thriller;Kanin Productions;Estados Unidos;Ingles
William Powell;Masculino;Pittsburgh, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sherlock Holmes;Mejor actor;No;1948;Life with Father;1947;ingles;Comedy, Family;Warner Bros. Pictures;Estados Unidos;Frances, Ingles
Loretta Young;Femenino;Salt Lake City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sirens of the Sea;Mejor actriz;Sí;1948;The Farmer's Daughter;1947;ingles;Comedy, Romance;Vanguard Films, RKO Radio Pictures, Dore Schary Productions;Estados Unidos;Ingles, Sueco
Michael Redgrave;Masculino;Bristol, Inglaterra;Británica;No aplica;Blanca;No; The Lady Vanishes;Mejor actor;No;1948;Mourning Becomes Electra;1947;ingles;Drama;RKO Radio Pictures;Estados Unidos;Ingles
Rosalind Russell;Femenino;Waterbury, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Evelyn Prentice;Mejor actriz;No;1948;Mourning Becomes Electra;1947;ingles;Drama;RKO Radio Pictures;Estados Unidos;Ingles
Susan Hayward;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Girls on Probation;Mejor actriz;No;1948;Smash-Up--The Story of a Woman;1947;Inglés;Drama;Universal International Pictures, Walter Wanger Productions;Estados Unidos;Inglés
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;Sí;1949;Hamlet;1948;ingles;Drama;Two Cities Films, J. Arthur Rank Organisation;Reino Unido;Ingles
Barbara Stanwyck;Femenino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Locked Door;Mejor actriz;No;1949;Sorry, Wrong Number;1948;ingles;Drama, Thriller;Hal Wallis Productions, Paramount;Estados Unidos;Ingles
Olivia de Havilland;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; Alibi Ike;Mejor actriz;No;1949;The Snake Pit;1948;ingles;Drama, Mystery;20th Century Fox;Estados Unidos;Ingles
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;No;1949;Joan of Arc;1948;ingles;War, Drama, History;Walter Wanger Productions, RKO Radio Pictures;Estados Unidos;Ingles, Frances
Montgomery Clift;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Search;Mejor actor;No;1949;The Search;1948;ingles;Drama, War;Praesens-Film AG, Metro-Goldwyn-Mayer;Suiza, Estados Unidos;Aleman, Checo, Frances, Hebreo, Hungaro, Ingles, Polaco
Lew Ayres;Masculino;Minneapolis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Kiss;Mejor actor;No;1949;Johnny Belinda;1948;ingles;Drama;Warner Bros. Pictures;Estados Unidos;Ingles
Jane Wyman;Femenino;Saint Joseph, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Smart Blonde;Mejor actriz;Sí;1949;Johnny Belinda;1948;ingles;Drama;Warner Bros. Pictures;Estados Unidos;Ingles
Irene Dunne;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Leathernecking;Mejor actriz;No;1949;I Remember Mama;1948;ingles;Family, Drama;RKO Radio Pictures;Estados Unidos;Ingles, Frances, Norwegian
Clifton Webb;Masculino;Indianápolis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Polly with a Past;Mejor actor;No;1949;Sitting Pretty;1948;ingles;Comedy;20th Century Fox;Estados Unidos;Italiano, Ingles
Dan Dailey;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Mortal Storm;Mejor actor;No;1949;When My Baby Smiles at Me;1948;ingles;Music, Romance;20th Century Fox;Estados Unidos;Ingles
Olivia de Havilland;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; Alibi Ike;Mejor actriz;Sí;1950;The Heiress;1949;ingles;Drama, Romance, History;Paramount;Estados Unidos;Ingles
Broderick Crawford;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Woman Chases Man;Mejor actor;Sí;1950;All the King's Men;1949;ingles;Drama;Columbia Pictures;Estados Unidos;Ingles
Gregory Peck;Masculino;La Jolla, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Days of Glory;Mejor actor;No;1950;Twelve O'Clock High;1949;ingles;War, Action, Drama;20th Century Fox;Estados Unidos;Ingles
Kirk Douglas;Masculino;Ámsterdam, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Strange Love of Martha Ivers;Mejor actor;No;1950;Champion;1949;ingles;Drama;Stanley Kramer Productions, Screen Plays, United Artists;Estados Unidos;Ingles
