nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;ano_pelicula_nominada;original_language;genres;production_companies;production_countries;spoken_languages
Clark Gable;Masculino;Cádiz, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; White Man;Mejor actor;No;1936;Mutiny on the Bounty;1935;ingles;Adventure, Drama, History;Metro-Goldwyn-Mayer;Estados Unidos;Ingles, Tahitian
Charles Laughton;Masculino;Scarborough, Inglaterra;Británica;Estadounidense ;Blanca;No; The Tonic;Mejor actor;No;1936;Mutiny on the Bounty;1935;ingles;Adventure, Drama, History;Metro-Goldwyn-Mayer;Estados Unidos;Ingles, Tahitian
Franchot Tone;Masculino;Cataratas del Niágara, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Wiser Sex;Mejor actor;No;1936;Mutiny on the Bounty;1935;ingles;Adventure, Drama, History;Metro-Goldwyn-Mayer;Estados Unidos;Ingles, Tahitian
Victor McLaglen;Masculino;Tunbridge Wells, Inglaterra;Británica;Estadounidense ;Blanca;No; The Call of the Road;Mejor actor;Sí;1936;The Informer;1935;ingles;Crime, Drama;RKO Radio Pictures;Estados Unidos;Ingles
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1936;Alice Adams;1935;ingles;Comedy, Drama, Romance;RKO Radio Pictures;Estados Unidos;Ingles
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;Sí;1936;Dangerous;1935;ingles;Drama;Warner Bros. Pictures;Estados Unidos;Ingles
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;No;1936;Black Fury;1935;ingles;Drama;First National Pictures;Estados Unidos;Ingles
Miriam Hopkins;Femenino;Savannah, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Fast and Loose;Mejor actriz;No;1936;Becky Sharp;1935;ingles;Drama, Romance;Pioneer Pictures Corporation;Estados Unidos;Frances, Ingles
Merle Oberon;Femenino;Mumbai, India;Británica ;Estadounidense;Multirracial;No; Wedding Rehearsal;Mejor actriz;No;1936;The Dark Angel;1935;ingles;Romance, Drama;Samuel Goldwyn Productions;Estados Unidos;Ingles
Claudette Colbert;Femenino;Saint-Mandé, Francia;Francesa;Estadounidense ;Blanca;Sí; For the Love of Mike;Mejor actriz;No;1936;Private Worlds;1935;ingles;Drama;Walter Wanger Productions, Paramount;Estados Unidos;Ingles
Elisabeth Bergner;Femenino;Drohobych, Ucrania;Austríaca;No aplica;Blanca;No; Der Evangelimann;Mejor actriz;No;1936;Escape Me Never;1935;ingles;Drama;Herbert Wilcox Productions;Reino Unido;Ingles
Gary Cooper;Masculino;Helena, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Winning of Barbara Worth;Mejor actor;No;1937;Mr. Deeds Goes to Town;1936;ingles;Comedy, Drama, Romance;Columbia Pictures;Estados Unidos;Ingles
William Powell;Masculino;Pittsburgh, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Sherlock Holmes;Mejor actor;No;1937;My Man Godfrey;1936;ingles;Comedy, Romance;Universal Pictures;Estados Unidos;Ingles, Ruso
Carole Lombard;Femenino;Fort Wayne, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Perfect Crime;Mejor actriz;No;1937;My Man Godfrey;1936;ingles;Comedy, Romance;Universal Pictures;Estados Unidos;Ingles, Ruso
Walter Huston;Masculino;Toronto, Canadá;Canadiense;Estadounidense;Blanca;Sí; Gentlemen of the Press;Mejor actor;No;1937;Dodsworth;1936;ingles;Drama, Romance;Samuel Goldwyn Productions, United Artists;Estados Unidos;Aleman, Frances, Italiano, Ingles
Luise Rainer;Femenino;Düsseldorf, Alemania;Alemana;Estadounidense;Blanca;No; Sehnsucht 202;Mejor actriz;Sí;1937;The Great Ziegfeld;1936;ingles;Drama, Music, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1937;San Francisco;1936;ingles;Drama, Music, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;Sí;1937;The Story of Louis Pasteur;1936;ingles;Drama, History;Cosmopolitan Productions, Warner Bros. Pictures;Estados Unidos;Ingles, Frances, Ruso
Irene Dunne;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Leathernecking;Mejor actriz;No;1937;Theodora Goes Wild;1936;ingles;Comedy, Romance;Columbia Pictures;Estados Unidos;Ingles
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;No;1937;Romeo and Juliet;1936;ingles;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Gladys George;Femenino;Patten, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Red Hot Dollars;Mejor actriz;No;1937;Valiant Is the Word for Carrie;1936;ingles;Drama;Paramount;Estados Unidos;Ingles
Irene Dunne;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Leathernecking;Mejor actriz;No;1938;The Awful Truth;1937;ingles;Comedy, Romance;Columbia Pictures;Estados Unidos;Frances, Ingles, Italiano
Fredric March;Masculino;Racine, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Dummy;Mejor actor;No;1938;A Star Is Born;1937;ingles;Drama, Romance;Selznick International Pictures;Estados Unidos;Ingles
Janet Gaynor;Femenino;Filadelfia, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Johnstown Flood;Mejor actriz;No;1938;A Star Is Born;1937;ingles;Drama, Romance;Selznick International Pictures;Estados Unidos;Ingles
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;Sí;1938;Captains Courageous;1937;ingles;Adventure, Drama, Family;Metro-Goldwyn-Mayer;Estados Unidos;Portuguese, Español, Ingles
Paul Muni;Masculino;Leópolis, Ucrania;Estadounidense;No aplica;Blanca;Sí; The Valiant;Mejor actor;No;1938;The Life of Emile Zola;1937;ingles;Drama, History;Warner Bros. Pictures;Estados Unidos;Ingles
Barbara Stanwyck;Femenino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Locked Door;Mejor actriz;No;1938;Stella Dallas;1937;ingles;Drama, Romance;Samuel Goldwyn Productions, United Artists;Estados Unidos;Ingles
Luise Rainer;Femenino;Düsseldorf, Alemania;Alemana;Estadounidense;Blanca;No; Sehnsucht 202;Mejor actriz;Sí;1938;The Good Earth;1937;ingles;Drama, History, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Robert Montgomery;Masculino;Beacon, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; So This Is College;Mejor actor;No;1938;Night Must Fall;1937;ingles;Mystery, Thriller;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Charles Boyer;Masculino;Figeac, Francia;Francesa;Estadounidense ;Blanca;No; L'Homme du large;Mejor actor;No;1938;Conquest;1937;ingles;Drama, History, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Greta Garbo;Femenino;Estocolmo, Suecia;Sueca;Estadounidense;Blanca;No; Luffar-Petter;Mejor actriz;No;1938;Camille;1937;Inglés;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Inglés
James Cagney;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Sinners' Holiday;Mejor actor;No;1939;Angels with Dirty Faces;1938;ingles;Crime, Drama;Warner Bros. Pictures;Estados Unidos;Ingles
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;Sí;1939;Jezebel;1938;ingles;Drama, Romance;Warner Bros. Pictures;Estados Unidos;Ingles, Frances
Spencer Tracy;Masculino;Milwaukee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;Sí;1939;Boys Town;1938;ingles;Drama;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Charles Boyer;Masculino;Figeac, Francia;Francesa;Estadounidense ;Blanca;No; L'Homme du large;Mejor actor;No;1939;Algiers;1938;ingles;Drama, Mystery, Romance, Crime;United Artists, Walter Wanger Productions;Estados Unidos;Español, Ingles
Robert Donat;Masculino;Withington, Inglaterra;Británica;No aplica;Blanca;No; Men of Tomorrow;Mejor actor;No;1939;The Citadel;1938;ingles;Drama;Metro-Goldwyn-Mayer;Reino Unido;Ingles
Margaret Sullavan;Femenino;Norfolk, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Only Yesterday;Mejor actriz;No;1939;Three Comrades;1938;ingles;Drama, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Norma Shearer;Femenino;Montreal, Canadá;Canadiense;Estadounidense;Blanca;Sí; The Stealers;Mejor actriz;No;1939;Marie Antoinette;1938;ingles;Drama, History, Romance;Metro-Goldwyn-Mayer;Estados Unidos;Ingles, Español
Fay Bainter;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; This Side of Heaven;Mejor actriz;No;1939;White Banners;1938;ingles;Drama;Warner Bros. Pictures, Cosmopolitan Productions;Estados Unidos;Ingles
Leslie Howard;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;No; The Heroine of Mons;Mejor actor;No;1939;Pygmalion;1938;Inglés;Comedia, Romance;Gabriel Pascal Productions;Reino Unido;Inglés
Wendy Hiller;Femenino;Bramhall, Inglaterra;Británica;No aplica;Blanca;No; Lancashire Luck;Mejor actriz;No;1939;Pygmalion;1938;Inglés;Comedia, Romance;Gabriel Pascal Productions;Reino Unido;Inglés
Clark Gable;Masculino;Cádiz, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; White Man;Mejor actor;No;1940;Gone with the Wind;1939;ingles;Drama, War, Romance;Selznick International Pictures, Metro-Goldwyn-Mayer;Estados Unidos;Ingles
Vivien Leigh;Femenino;Darjeeling, India;Británica;No aplica;Blanca;No; The Village Squire;Mejor actriz;Sí;1940;Gone with the Wind;1939;ingles;Drama, War, Romance;Selznick International Pictures, Metro-Goldwyn-Mayer;Estados Unidos;Ingles
